horaire,team_home,team_away,score,cote1,coteN,cote2
16:00,Barnsley,Middlesbrough,2 : 2,3.50,3.05,1.80
16:00,Bolton,Sheffield Wed,2 : 1,3.60,2.95,1.80
16:00,Brentford,Millwall,1 : 0,1.70,3.30,3.60
16:00,Fulham,Preston,2 : 2,1.78,3.15,3.40
16:00,Leeds,Reading,0 : 1,1.75,3.05,3.70
16:00,Norwich,Hull ,1 : 1,1.80,3.25,3.25
16:00,Sheffield Utd,Ipswich,1 : 0,1.65,3.10,4.10
16:00,Sunderland,QPR,1 : 1,2.05,3.00,2.85
18:30,Wolves,Aston Villa,2 : 0,1.90,2.85,3.40
16:00,Brechin,Morton,0 : 1,-,-,-
16:00,Dumbarton,St. Mirren,0 : 2,-,-,-
16:00,Falkirk,Inverness,0 : 0,-,-,-
16:00,Livingston,Dundee Utd,2 : 0,-,-,-
16:00,Queen of South,Dunfermline,0 : 0,-,-,-
