horaire,team_home,team_away,score,cote1,coteN,cote2
15:30,Caerau Ely,Monmouth,2 : 1,-,-,-
15:30,Cwmbran Celtic,Undy,3 : 2,-,-,-
15:30,Goytre United,Goytre AFC,1 : 5,-,-,-
15:30,Haverfordwest,Taffs Well,2 : 1,-,-,-
15:30,Penybont,Cambrian & Clydach,0 : 2,-,-,-
15:30,Port Talbot,Cwmamman United,3 : 3,-,-,-
15:30,Ton Pentre,Briton Ferry,0 : 4,-,-,-
13:00,Leczna,Pogon Siedlce ,1 : 1,-,-,-
17:00,Chrobry Glogow ,Suwalki,3 : 3,-,-,-
17:00,Tychy,Puszcza,1 : 1,-,-,-
17:15,Olsztyn,Odra Opole,2 : 0,-,-,-
17:45,Podbeskidzie,Katowice,1 : 2,-,-,-
18:00,Drutex-Bytovia ,Sosnowiec,2 : 2,-,-,-
18:00,Ol. Grudziadz,Legnica ,0 : 1,-,-,-
12:00,Sibir,Orenburg,0 : 1,-,-,-
12:00,Tomsk,F. Voronezh,1 : 0,-,-,-
13:00,Dynamo SPB,Sp. Moscou 2,2 : 2,-,-,-
13:00,Olimpiyets,Kuban,0 : 3,-,-,-
13:00,Samara,R. Volgograd,1 : 1,-,-,-
13:00,Tyumen,FC Tambov,3 : 1,-,-,-
13:00,Yaroslavl,Baltika ,1 : 0,-,-,-
14:00,Kursk,Luch Energiya,1 : 2,-,-,-
15:00,Volgar-Astrakhan,Yenisey,1 : 2,-,-,-
17:00,Khimki,Zenit 2,1 : 1,-,-,-
