horaire,team_home,team_away,score,cote1,coteN,cote2
13:30,St. Albans,Boreham Wood ,1 : 3,-,-,-
16:00,Aldershot ,Torquay,1 : 0,-,-,-
16:00,Bath City,Chelmsford,0 : 0,-,-,-
16:00,Brackley,Billericay,3 : 3,-,-,-
16:00,Burgess Hill,Dartford ,0 : 1,-,-,-
16:00,Buxton,Gateshead ,1 : 2,-,-,-
16:00,Chorley,Boston,0 : 0,-,-,-
16:00,Dagenham & Red.,Leyton Orient,0 : 0,-,-,-
16:00,Dover,Bromley,0 : 0,-,-,-
16:00,East Thurrock,Ebbsfleet,0 : 0,-,-,-
16:00,Eastleigh,Hereford ,1 : 2,-,-,-
16:00,Fylde ,Wrexham,1 : 0,-,-,-
16:00,Guiseley ,Shildon,6 : 0,-,-,-
16:00,Halifax,Tranmere ,1 : 3,-,-,-
16:00,Hampton & Richmond,Truro ,0 : 2,-,-,-
16:00,Haringey Borough,Heybridge ,2 : 4,-,-,-
16:00,Harrogate,Gainsborough ,1 : 2,-,-,-
16:00,Kidderminster ,Chester,2 : 0,-,-,-
16:00,Maidenhead ,Havant & W,2 : 1,-,-,-
16:00,Maidstone,Enfield Town,2 : 2,-,-,-
16:00,Margate,Leatherhead ,1 : 2,-,-,-
16:00,Nantwich,Kettering,1 : 1,-,-,-
16:00,Oxford City ,Bognor,1 : 0,-,-,-
16:00,Paulton Rovers,Sutton ,2 : 3,-,-,-
16:00,Scarborough Athletic,Hyde ,0 : 2,-,-,-
16:00,Slough ,Folkestone,1 : 0,-,-,-
16:00,Solihull,Ossett,1 : 1,-,-,-
16:00,South Shields,Hartlepool ,1 : 2,-,-,-
16:00,Stourbridge,Macclesfield ,0 : 5,-,-,-
16:00,Telford ,United of Manchester,3 : 1,-,-,-
16:00,Woking,Concord,1 : 1,-,-,-
