horaire,team_home,team_away,score,cote1,coteN,cote2
16:00,Banks O' Dee ,Selkirk,2 : 0,-,-,-
16:00,Berwick ,Annan,1 : 0,-,-,-
16:00,Buckie Thistle ,BSC Glasgow ,6 : 2,-,-,-
16:00,Civil Service Stroll,Brora Rangers ,0 : 5,-,-,-
16:00,Cowdenbeath,East Kilbride ,0 : 1,-,-,-
16:00,Deveronvale,Glenafton ,0 : 2,-,-,-
16:00,Edinburgh University,Fraserburgh ,0 : 2,-,-,-
16:00,Elgin ,Edusport Academy,3 : 1,-,-,-
16:00,Formartine Utd ,East Stirlingshire ,4 : 0,-,-,-
16:00,Keith,Clyde ,0 : 3,-,-,-
16:00,Montrose ,Stirling University,4 : 1,-,-,-
16:00,Nairn County,Cove Rangers ,1 : 2,-,-,-
16:00,Peterhead ,Colville Park,9 : 0,-,-,-
16:00,Spartans ,Clachnacuddin,5 : 0,-,-,-
16:00,Stirling,Lothian Thistle ,3 : 5,-,-,-
