horaire,team_home,team_away,score,cote1,coteN,cote2
16:00,Bristol Rovers,Oxford Utd,0 : 1,-,-,-
16:00,Bury,Bradford,3 : 1,-,-,-
16:00,Charlton,Doncaster,1 : 0,-,-,-
16:00,Fleetwood ,Rochdale,2 : 2,-,-,-
16:00,Northampton,Wimbledon,0 : 1,-,-,-
16:00,Oldham,Blackburn,1 : 0,-,-,-
16:00,Peterborough,Gillingham FC,0 : 1,-,-,-
16:00,Plymouth,Shrewsbury,1 : 1,-,-,-
16:00,Portsmouth,Milton Keynes,2 : 0,-,-,-
16:00,Rotherham,Scunthorpe,2 : 0,-,-,-
16:00,Walsall,Blackpool,1 : 1,-,-,-
16:00,Wigan,Southend ,3 : 0,-,-,-
16:00,Ayr,Airdrieonians,2 : 2,-,-,-
16:00,East Fife,Albion Rovers,5 : 4,-,-,-
16:00,Queen's Park,Forfar,1 : 1,-,-,-
16:00,Raith,Arbroath,2 : 0,-,-,-
16:00,Stranraer,Alloa,2 : 0,-,-,-
