horaire,team_home,team_away,score,cote1,coteN,cote2
16:00,Accrington,Coventry,1 : 0,-,-,-
16:00,Chesterfield,Morecambe,0 : 2,-,-,-
16:00,Colchester,Carlisle,0 : 1,-,-,-
16:00,Forest Green,Newport,0 : 4,-,-,-
16:00,Grimsby Town,Crawley Town,0 : 0,-,-,-
16:00,Lincoln City,Cambridge Utd,0 : 0,-,-,-
16:00,Luton,Stevenage,7 : 1,-,-,-
16:00,Mansfield,Swindon,1 : 3,-,-,-
16:00,Notts County,Barnet,2 : 1,-,-,-
16:00,Port Vale,Cheltenham,3 : 1,-,-,-
16:00,Wycombe,Exeter,0 : 0,-,-,-
16:00,Yeovil,Crewe,2 : 0,-,-,-
