horaire,team_home,team_away,score,cote1,coteN,cote2
17:00,Dijon,PSG,1 : 2,19.00,7.50,1.12
20:00,Caen,Angers,0 : 0,2.35,2.95,3.10
20:00,Guingamp,Rennes,0 : 0,2.05,3.20,3.50
20:00,Lille,Troyes,0 : 1,1.60,3.60,5.25
20:00,Saint-Etienne,Metz,0 : 0,1.55,3.70,5.75
20:00,Toulouse,Amiens,0 : 0,1.82,3.10,4.60
17:00,Harrach,Oran,2 : 3,1.90,2.60,3.70
18:45,MC Alger,USM Alger,-,-,-,-
15:30,CO Medenine,Monastir,0 : 2,2.50,2.63,2.50
15:30,Kairouanaise ,Bizertin,0 : 2,2.75,2.50,2.38
16:00,Esperance Tunis,Club Africain,-,-,-,-
16:00,Metlaoui,Etoile Sahel,-,-,-,-
20:00,Sfaxien,Zarzis,-,1.17,4.33,12.00
