date,horaire,team_home,team_away,score,cote1,coteN,cote2
<type 'datetime.time'>,13:00,Operario,Felgueiras ,2 : 4,2.60,2.80,2.30
<type 'datetime.time'>,16:00,AD Oliveirense ,Torreense,1 : 0(0 : 0),2.15,2.90,2.70
<type 'datetime.time'>,16:00,Alta Lisboa,Famalicao ,0 : 2,6.50,4.10,1.28
<type 'datetime.time'>,16:00,Amarante ,Sporting Ideal ,1 : 2(1 : 1),1.90,2.95,3.20
<type 'datetime.time'>,16:00,Arouca ,Coruchense ,3 : 0,1.32,3.70,6.50
<type 'datetime.time'>,16:00,Canelas 2010,Moreirense ,1 : 3,5.75,3.40,1.40
<type 'datetime.time'>,16:00,Cesarense,Caldas ,1 : 2,1.82,2.90,3.50
<type 'datetime.time'>,16:00,Farense ,Estoril ,1 : 0,3.70,3.05,1.72
<type 'datetime.time'>,16:00,Fatima,Chaves ,0 : 3,6.50,3.75,1.32
<type 'datetime.time'>,16:00,Gafanha,Freamunde ,0 : 1(0 : 0),2.35,2.70,2.60
<type 'datetime.time'>,16:00,Leiria  ,Sp. Espinho,2 : 0,1.62,3.15,4.10
<type 'datetime.time'>,16:00,Leixoes ,Tondela ,3 : 2(2 : 2),2.60,2.85,2.25
<type 'datetime.time'>,16:00,Moura AC,Portimonense ,0 : 1(0 : 0),5.75,3.40,1.40
<type 'datetime.time'>,16:00,Nacional ,Merelinense,4 : 2,1.38,3.60,5.50
<type 'datetime.time'>,16:00,Pinhalnovense,Setubal ,1 : 2(1 : 1),5.00,3.20,1.50
<type 'datetime.time'>,16:00,Sanjoanense,Rio Ave ,0 : 4,7.25,3.90,1.27
<type 'datetime.time'>,16:00,SC Vila Real,Aves ,0 : 1,11.00,5.50,1.10
<type 'datetime.time'>,16:00,U. Madeira ,Oriental ,3 : 2,1.55,3.20,4.40
<type 'datetime.time'>,16:00,Vilafranquense ,Casa Pia,2 : 1(1 : 1),2.10,2.80,2.90
<type 'datetime.time'>,16:00,Vilaverdense ,Boavista,1 : 0,5.00,3.15,1.50
<type 'datetime.time'>,16:00,Vizela ,Sintrense,3 : 1,1.50,3.20,4.90
<type 'datetime.time'>,17:00,Santa Clara ,Belenenses,2 : 1,2.35,2.70,2.60
<type 'datetime.time'>,17:00,SC Praiense ,Alcains,4 : 1,1.28,3.90,7.00
<type 'datetime.time'>,20:00,Academica,Paços Ferreira,1 : 1,2.45,2.75,2.45
