date,horaire,team_home,team_away,score,cote1,coteN,cote2
<type 'datetime.time'>,14:30,Brighton,Everton,1 : 1,3.00,2.95,2.30
<type 'datetime.time'>,17:00,Southampton,Newcastle,2 : 2,1.80,3.15,4.20
<type 'datetime.time'>,19:00,Al Nasr Riyadh,Al-Taawon,2 : 1,-,-,-
<type 'datetime.time'>,17:00,Pyunik,Alashkert,0 : 1,4.00,3.05,1.65
<type 'datetime.time'>,17:00,Al-Ittihad,East Riffa,1 : 4,-,-,-
<type 'datetime.time'>,19:15,Al-Hadd,Al-Ahli Manama,2 : 1,-,-,-
<type 'datetime.time'>,12:30,Rahmatgonj MFS,Saif Sporting Club,0 : 1,-,-,-
<type 'datetime.time'>,14:45,Arambagh,Sheikh Russel,1 : 2,-,-,-
<type 'datetime.time'>,15:30,GOSK Gabela,Mladost DK,2 : 2,2.35,3.00,2.35
<type 'datetime.time'>,18:00,Celik Zenica,Zeljeznicar,0 : 3,6.50,3.75,1.32
<type 'datetime.time'>,17:00,Aduana Stars,Elmina Sharks,2 : 1,-,-,-
<type 'datetime.time'>,17:00,All Stars,Bolga AllStars,6 : 1,-,-,-
<type 'datetime.time'>,17:00,Asante Kotoko,Berekum Chelsea,1 : 0,-,-,-
<type 'datetime.time'>,17:00,Ebusua Dwarfs,WAFA,2 : 1,-,-,-
<type 'datetime.time'>,17:00,Great Olympics,Ashanti Gold,1 : 0,-,-,-
<type 'datetime.time'>,17:00,Inter Allies,Liberty,2 : 1,-,-,-
<type 'datetime.time'>,17:00,Medeama,Hearts Of Oak,1 : 0,-,-,-
<type 'datetime.time'>,17:00,Tema Youth,Bechem United,2 : 1,-,-,-
<type 'datetime.time'>,08:30,Hong Kong Rangers,Guangzhou R&F -19,-,-,-,-
<type 'datetime.time'>,11:30,Eastern AA,Hong Kong Sapling,-,-,-,-
<type 'datetime.time'>,14:00,Warriors,Pegasus,-,-,-,-
<type 'datetime.time'>,16:00,07 Vestur Sorvagur,TB/FCS/Royn,3 : 1,2.00,3.40,2.50
<type 'datetime.time'>,16:00,B36 Torshavn,Klaksvik,1 : 3,1.78,3.30,2.95
<type 'datetime.time'>,16:00,Runavik ,Vikingur,2 : 1,2.60,3.20,2.00
<type 'datetime.time'>,16:00,Skala Itrottarfelag,HB Torshavn,0 : 0,3.40,3.30,1.65
<type 'datetime.time'>,16:00,Streymur,Fuglafjordur,2 : 4,1.42,3.80,4.30
<type 'datetime.time'>,18:30,Al Buqaa,Al Jazeera Amman,1 : 1,-,-,-
<type 'datetime.time'>,18:30,Al Ramtha,Al Wehdat,1 : 0,-,-,-
<type 'datetime.time'>,11:00,FC Astana,I. Pavlodar,2 : 1,1.25,4.10,7.50
<type 'datetime.time'>,11:00,Okzhetpes,Taraz,2 : 1,4.00,3.00,1.68
<type 'datetime.time'>,12:00,Shakhtar K.,Kaisar,2 : 1,2.15,2.75,2.85
<type 'datetime.time'>,14:00,Kakamega Homeboyz,Nakumatt,1 : 2,-,-,-
<type 'datetime.time'>,14:00,Sony Sugar,Nzoia Sugar,2 : 2,-,-,-
<type 'datetime.time'>,14:00,Tusker,Muhoroni,4 : 0,-,-,-
<type 'datetime.time'>,14:00,Western Stima,Thika Utd.,1 : 1,-,-,-
<type 'datetime.time'>,16:30,Al-Rayyan,Al Markhiya,4 : 1,-,-,-
<type 'datetime.time'>,18:40,Al-Duhail,Al Ahli Doha,6 : 1,-,-,-
<type 'datetime.time'>,18:40,Al-Sadd,Qatar SC,3 : 1,-,-,-
<type 'datetime.time'>,13:00,Ufa,Lok. Moscou,1 : 0,3.25,2.60,2.10
<type 'datetime.time'>,15:30,FK Rostov,Kazan,0 : 1,2.20,2.50,3.15
<type 'datetime.time'>,18:00,Zenit Petersburg,Arsenal Tula,0 : 1,1.19,4.40,9.50
<type 'datetime.time'>,13:00,Zirka Kropyvnytskyi,Karpaty,0 : 0,2.60,2.65,2.30
<type 'datetime.time'>,16:00,Olimpik Donetsk,Oleksandriya,1 : 0,1.95,2.70,3.10
<type 'datetime.time'>,18:30,Ch. Odessa,Dyn. Kiev,2 : 1,7.00,3.90,1.25
