date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,13:00,Malavan,Aluminium Arak,1 : 0,1.83,2.80,4.75
16102017,13:30,Bargh,Baderan Tehran,2 : 0,2.05,2.80,3.80
16102017,13:30,Gol Gohar,Iranjavan,1 : 2,1.65,2.90,6.00
16102017,13:30,Khooneh Be Khooneh ,Machine Sazi ,0 : 0,1.95,2.80,4.00
16102017,13:30,Rah Ahan ,Saba Qom ,0 : 1,2.70,2.70,2.70
16102017,13:45,Oxin Alborz,Rafsanjan,1 : 1,1.91,2.80,4.20
16102017,13:45,Shahrdari Tabriz,Naft Ahvaz,0 : 1,2.90,2.75,2.40
16102017,14:30,Mes,Mazandaran,1 : 2,2.10,2.75,3.60
16102017,14:30,Shahrdari Mahshahr,Fajr Sepasi,0 : 0,2.00,2.75,4.00
18102017,15:00,Puszcza,Ruch,2 : 1,-,-,-
18102017,15:00,Rakow,Podbeskidzie,1 : 1,-,-,-
18102017,19:00,Pogon Siedlce,Ol. Grudziadz,1 : 1,-,-,-
18102017,19:00,Sosnowiec,Chrobry Glogow,2 : 1,-,-,-
18102017,20:00,Katowice,Olsztyn,3 : 1,-,-,-
20102017,20:15,Cambrian & Clydach,Ton Pentre,5 : 1,-,-,-
20102017,20:30,Briton Ferry,Haverfordwest,0 : 3,-,-,-
20102017,20:30,Llanelli,Port Talbot,2 : 2,-,-,-
