date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,15:00,République Tchèque -17,Israel -17,0 : 2,-,-,-
16102017,15:00,Turquie -17,Arménie -17,4 : 0,-,-,-
16102017,16:00,Kosovo -17,Hongrie -17,1 : 3,-,-,-
16102017,16:00,Pays de Galles -17,Pays-Bas -17,0 : 4,-,-,-
16102017,17:30,Azerbaijan -17,Bulgarie -17,2 : 1,-,-,-
16102017,17:30,Ukraine -17,Irlande -17,1 : 3,-,-,-
17102017,14:00,Chypre -17,Suède -17 ,1 : 1,-,-,-
17102017,14:00,Pologne -17,San Marin -17,8 : 0,-,-,-
18102017,11:00,Norvège -17,Grèce -17,0 : 1,-,-,-
18102017,14:30,Serbie -17,Gibraltar -17,7 : 0,-,-,-
