date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:45,Blackburn,Plymouth,1 : 1,-,-,-
17102017,20:45,Blackpool,Bury,2 : 1,-,-,-
17102017,20:45,Bradford,Oldham,1 : 1,-,-,-
17102017,20:45,Doncaster,Portsmouth ,2 : 1,-,-,-
17102017,20:45,Gillingham FC,Wigan,1 : 1,-,-,-
17102017,20:45,Milton Keynes,Walsall,1 : 1,-,-,-
17102017,20:45,Oxford Utd,Charlton,1 : 1,-,-,-
17102017,20:45,Rochdale,Northampton,2 : 2,-,-,-
17102017,20:45,Scunthorpe,Fleetwood,1 : 1,-,-,-
17102017,20:45,Shrewsbury,Bristol Rovers,4 : 0,-,-,-
17102017,20:45,Southend,Peterborough,1 : 1,-,-,-
17102017,20:45,Wimbledon,Rotherham,3 : 1,-,-,-
