date,horaire,team_home,team_away,score,cote1,coteN,cote2
17102017,20:45,Cambridge Utd,Yeovil,2 : 1,-,-,-
17102017,20:45,Carlisle,Wycombe,3 : 3,-,-,-
17102017,20:45,Cheltenham,Grimsby Town,2 : 3,-,-,-
17102017,20:45,Coventry,Forest Green,0 : 1,-,-,-
17102017,20:45,Crawley Town,Chesterfield,0 : 2,-,-,-
17102017,20:45,Crewe,Notts County,2 : 0,-,-,-
17102017,20:45,Exeter,Luton,1 : 4,-,-,-
17102017,20:45,Morecambe,Port Vale,0 : 3,-,-,-
17102017,20:45,Newport,Colchester,1 : 2,-,-,-
17102017,20:45,Stevenage,Accrington,3 : 2,-,-,-
17102017,20:45,Swindon,Lincoln City,0 : 1,-,-,-
17102017,21:00,Barnet,Mansfield,1 : 1,-,-,-
