date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,01:30,Santos Laguna,Atlas,0 : 1,1.70,3.50,5.25
18102017,02:00,Lobos BUAP,Tijuana,1 : 2,2.20,2.95,2.60
18102017,03:00,Queretaro,Cruz Azul,1 : 2,2.60,2.85,2.25
18102017,03:45,Tigres,Veracruz,1 : 0,1.25,4.10,7.25
18102017,04:00,U.N.A.M.,Leon,2 : 0,2.85,3.20,1.95
18102017,04:30,Atlas,Monarcas,0 : 1,2.25,2.90,2.55
19102017,02:00,Santos Laguna,Necaxa,3 : 2,1.75,3.10,3.50
19102017,02:06,Pachuca,Toluca ,2 : 2,1.90,3.05,3.05
19102017,04:00,Club America,Guadalajara,2 : 1,1.82,2.95,3.40
19102017,04:00,Puebla,Monterrey,2 : 0,3.50,3.05,1.78
