date,horaire,team_home,team_away,score,cote1,coteN,cote2
16102017,21:00,Leicester,West Brom,1 : 1,2.00,3.40,4.33
16102017,17:00,Al-Muharraq,Al-Shabbab,1 : 1,1.45,4.00,6.00
16102017,17:00,Manama Club,Al-Rifaa,0 : 1,2.70,3.20,2.50
16102017,19:15,Malkia,Al-Najma ,1 : 3,1.85,3.60,3.60
16102017,19:00,Al Ahly,El Raja,4 : 1,1.20,5.50,13.00
16102017,16:30,Amkar,Tosno,0 : 0,2.30,2.88,3.60
17102017,14:00,Gor Mahia,Kariobangi Sharks,3 : 1,-,-,-
17102017,14:00,Ulinzi Stars,Leopards,0 : 1,-,-,-
17102017,15:00,Jinja,Proline,2 : 1,-,-,-
17102017,15:30,Kampala City,Bright Stars,0 : 0,-,-,-
17102017,15:30,URA SC,BUL,4 : 0,-,-,-
18102017,14:00,Nakumatt,Tusker,0 : 1,-,-,-
18102017,15:00,Maroons,Villa,1 : 1,-,-,-
18102017,15:30,Vipers,Soana,1 : 1,-,-,-
19102017,16:50,Al Qadisiya,Al Feiha,1 : 1,-,-,-
19102017,17:10,Al-Raed,Al Shabab,2 : 2,-,-,-
19102017,18:55,Ohud,Al Nasr Riyadh,2 : 2,-,-,-
19102017,14:45,Al Nasr,Alassiouty ,2 : 2,-,-,-
19102017,14:45,El Gaish,Tanta,0 : 0,-,-,-
19102017,17:00,Misr Elmaqasah,Enppi,1 : 2,-,-,-
19102017,19:30,Al Ittihad,El Entag El Harby,1 : 1,-,-,-
19102017,16:00,Al Yarmouk,Mansheyat,0 : 1,-,-,-
19102017,18:30,Al Hussein,Al-Faisaly Amman,0 : 0,-,-,-
19102017,14:00,Muhoroni,Zoo Kericho,1 : 1,-,-,-
19102017,16:40,Kazma SC,Al Naser,2 : 0,-,-,-
19102017,19:00,Al Arabi,Al Salmiya,0 : 1,-,-,-
19102017,18:35,Al-Kharitiyath,Al-Gharafa,4 : 1,-,-,-
20102017,21:00,West Ham,Brighton,0 : 3,1.72,3.20,4.60
20102017,16:50,Al-Fateh,Al-Ettifaq,1 : 1,-,-,-
20102017,18:55,Al-Taawon,Al-Faysaly,1 : 0,-,-,-
20102017,13:00,Banants,Ararat,0 : 0,1.42,3.40,5.50
20102017,14:45,El Raja,El Masry,0 : 0,-,-,-
20102017,14:45,Petrojet,Wadi Degla,2 : 2,-,-,-
20102017,17:00,Ismaily,El Daklyeh,2 : 1,-,-,-
20102017,20:00,Zamalek,Smouha,0 : 3,-,-,-
20102017,18:30,Al Jazeera Amman,Al Ahli,4 : 1,-,-,-
20102017,18:30,Al Wehdat,Al Buqaa,2 : 0,-,-,-
20102017,16:40,Al Kuwait,Al Tadamon,8 : 1,-,-,-
20102017,19:10,Al Jahra,Al Qadisiya,3 : 1,-,-,-
20102017,15:00,Johor DT II,Kuala Lumpur,-,-,-,-
20102017,15:00,MISC-MIFA,PDRM FA,-,-,-,-
20102017,15:00,PKNP,Terengganu,-,-,-,-
20102017,15:00,Sabah,Negeri Sembilan,-,-,-,-
20102017,15:00,UiTM,Kuantan,-,-,-,-
20102017,15:00,Express FC,Onduparaka FC,1 : 2,-,-,-
20102017,15:30,UPDF,Masavu,2 : 2,-,-,-
20102017,20:45,Prestatyn,Bangor City ,4 : 2,3.70,3.40,1.62
20102017,21:00,Aberystwyth,TNS,1 : 2,9.50,5.25,1.13
20102017,16:25,Al Khor,Al Markhiya,0 : 1,-,-,-
20102017,16:25,Al Sailiya,Al-Rayyan,0 : 1,-,-,-
20102017,18:35,Al Arabi,Al-Sadd,1 : 3,-,-,-
20102017,14:00,Al Nawaeir,Hottin,1 : 0,-,-,-
20102017,14:00,Al Wahda,Al Jaish ,0 : 2,-,-,-
20102017,14:00,Al-Ittih.Aleppo,Herafio Halab,0 : 0,-,-,-
20102017,14:00,Al-Jehad,Al Karamah,0 : 3,-,-,-
20102017,14:00,Tishreen,Al Taliya,2 : 1,-,-,-
20102017,14:00,Wathbah,Al Majd,1 : 1,-,-,-
